nom_dep,ville,population,has_hospital,is_desert,nb_beds,latitude,longitude
Ain,L'Abergement-Clémenciat,832,1,0,141,46.153000,4.926000
Ain,L'Abergement-de-Varey,267,0,1,0,46.008999,5.428000
Ain,Ambérieu-en-Bugey,14854,0,0,0,45.960999,5.373000
Ain,Ambérieux-en-Dombes,1897,0,1,0,45.995998,4.912000
Ain,Ambléon,113,0,0,0,45.750000,5.594000
Ain,Ambronay,2833,0,0,0,46.006001,5.358000
Ain,Ambutrix,768,0,0,0,45.937000,5.333000
Ain,Andert-et-Condon,322,0,0,0,45.786999,5.658000
Ain,Anglefort,1125,0,0,0,45.909000,5.795000
Ain,Apremont,383,0,0,0,46.206001,5.658000
Ain,Aranc,327,0,0,0,46.001999,5.511000
Ain,Arandas,141,0,1,0,45.890999,5.499000
Ain,Arbent,3409,0,0,0,46.284000,5.691000
Ain,Arboys en Bugey,667,0,0,0,45.723999,5.653000
Ain,Arbigny,459,0,0,0,46.478001,4.960000
Ain,Argis,432,0,0,0,45.933998,5.482000
Ain,Armix,26,0,0,0,45.854000,5.584000
Ain,Ars-sur-Formans,1498,0,0,0,45.993999,4.822000
Ain,Artemare,1177,0,0,0,45.869999,5.691000
Ain,Asnières-sur-Saône,77,0,0,0,46.386002,4.884000
Ain,Attignat,3336,0,0,0,46.285999,5.180000
Ain,Bâgé-Dommartin,4065,0,0,0,46.323002,4.953000
Ain,Bâgé-le-Châtel,979,1,0,373,46.307999,4.929000
Ain,Balan,2692,0,0,0,45.831001,5.108000
Ain,Baneins,621,0,0,0,46.113998,4.902000
Ain,Beaupont,700,0,1,0,46.429001,5.260000
Ain,Beauregard,830,0,0,0,46.000999,4.756000
Ain,Bellignat,3636,0,0,0,46.237000,5.636000
Ain,Béligneux,3434,0,0,0,45.859001,5.140000
Ain,Valserhône,16295,0,0,0,46.106998,5.832000
Ain,Belley,9239,0,0,0,45.750000,5.684000
Ain,Belleydoux,306,0,1,0,46.252998,5.785000
Ain,Valromey-sur-Séran,1342,0,0,0,45.884998,5.651000
Ain,Bénonces,310,0,0,0,45.838001,5.483000
Ain,Bény,764,0,1,0,46.319000,5.282000
Ain,Béréziat,480,0,0,0,46.367001,5.040000
Ain,Bettant,749,0,0,0,45.937000,5.367000
Ain,Bey,290,0,0,0,46.219002,4.846000
Ain,Beynost,4877,0,0,0,45.839001,4.997000
Ain,Billiat,626,0,0,0,46.078999,5.766000
Ain,Birieux,284,0,0,0,45.952999,5.037000
Ain,Biziat,904,0,0,0,46.227001,4.941000
Ain,Blyes,1292,0,0,0,45.847000,5.252000
Ain,La Boisse,3361,0,0,0,45.845001,5.028000
Ain,Boissey,386,0,0,0,46.373001,4.999000
Ain,Bolozon,95,0,0,0,46.195999,5.471000
Ain,Bouligneux,327,0,0,0,46.022999,4.992000
Ain,Bourg-en-Bresse,41525,1,0,455,46.205002,5.246000
Ain,Bourg-Saint-Christophe,1517,0,0,0,45.886002,5.144000
Ain,Boyeux-Saint-Jérôme,356,0,1,0,46.035999,5.463000
Ain,Boz,510,0,0,0,46.404999,4.914000
Ain,Brégnier-Cordon,818,1,0,177,45.641998,5.616000
Ain,Brénod,518,0,0,0,46.076000,5.614000
Ain,Brens,1129,0,0,0,45.714001,5.690000
Ain,Bressolles,978,0,0,0,45.868999,5.101000
Ain,Brion,576,0,0,0,46.168999,5.547000
Ain,Briord,1099,0,0,0,45.771000,5.485000
Ain,Buellas,1851,0,0,0,46.209999,5.145000
Ain,La Burbanche,95,0,1,0,45.860001,5.546000
Ain,Ceignes,261,0,0,0,46.125999,5.495000
Ain,Cerdon,761,0,0,0,46.071999,5.476000
Ain,Certines,1505,0,0,0,46.133999,5.262000
Ain,Cessy,5307,0,0,0,46.316002,6.078000
Ain,Ceyzériat,3285,0,0,0,46.182999,5.320000
Ain,Ceyzérieu,992,1,0,141,45.834000,5.719000
Ain,Chalamont,2559,0,0,0,46.007999,5.169000
Ain,Chaleins,1430,0,0,0,46.034000,4.798000
Ain,Chaley,124,0,0,0,45.952999,5.537000
Ain,Challes-la-Montagne,189,0,0,0,46.122002,5.458000
Ain,Challex,1619,1,0,346,46.176998,5.971000
Ain,Champagne-en-Valromey,826,0,0,0,45.931999,5.693000
Ain,Champdor-Corcelles,645,0,0,0,46.020000,5.600000
Ain,Champfromier,718,0,0,0,46.220001,5.822000
Ain,Chanay,616,0,0,0,46.006001,5.769000
Ain,Chaneins,1003,0,0,0,46.094002,4.855000
Ain,Chanoz-Châtenay,931,0,0,0,46.186001,5.028000
Ain,La Chapelle-du-Châtelard,394,1,0,72,46.074001,5.022000
Ain,Charix,279,0,0,0,46.186001,5.681000
Ain,Charnoz-sur-Ain,898,0,0,0,45.874001,5.221000
Ain,Château-Gaillard,2287,0,0,0,45.973000,5.308000
Ain,Châtenay,360,0,1,0,46.026001,5.205000
Ain,Châtillon-la-Palud,1649,0,0,0,45.974998,5.242000
Ain,Châtillon-sur-Chalaronne,5059,0,0,0,46.123001,4.958000
Ain,Chavannes-sur-Reyssouze,767,0,0,0,46.438000,5.007000
Ain,Nivigne et Suran,832,0,0,0,46.275002,5.416000
Ain,Chaveyriat,1036,0,0,0,46.199001,5.056000
Ain,Chazey-Bons,1188,0,0,0,45.792999,5.685000
Ain,Chazey-sur-Ain,1600,0,0,0,45.893002,5.255000
Ain,Cheignieu-la-Balme,131,0,0,0,45.823002,5.605000
Ain,Chevillard,150,0,0,0,46.110001,5.581000
Ain,Chevroux,973,0,0,0,46.382000,4.963000
Ain,Chevry,2261,0,0,0,46.283001,6.047000
Ain,Chézery-Forens,445,0,0,0,46.223000,5.872000
Ain,Civrieux,1916,0,0,0,45.922001,4.886000
Ain,Cize,176,0,0,0,46.200001,5.451000
Ain,Cleyzieu,140,0,0,0,45.902000,5.433000
Ain,Coligny,1227,0,1,0,46.387001,5.331000
Ain,Collonges,2249,0,0,0,46.141998,5.900000
Ain,Colomieu,163,0,0,0,45.736000,5.627000
Ain,Conand,135,0,0,0,45.883999,5.475000
Ain,Condamine,473,1,0,95,46.105999,5.556000
Ain,Condeissiat,815,0,1,0,46.153999,5.084000
Ain,Confort,685,1,0,124,46.153999,5.833000
Ain,Confrançon,1348,0,0,0,46.270000,5.058000
Ain,Contrevoz,493,0,0,0,45.800999,5.621000
Ain,Conzieu,149,0,0,0,45.724998,5.604000
Ain,Corbonod,1296,0,0,0,45.966000,5.790000
Ain,Corlier,117,0,0,0,46.034000,5.496000
Ain,Cormoranche-sur-Saône,1162,0,0,0,46.240002,4.828000
Ain,Cormoz,703,0,1,0,46.433998,5.222000
Ain,Corveissiat,596,0,0,0,46.250000,5.472000
Ain,Courmangoux,504,0,0,0,46.327000,5.356000
Ain,Courtes,297,0,1,0,46.457001,5.111000
Ain,Crans,306,0,0,0,45.966000,5.195000
Ain,Bresse Vallons,2380,0,0,0,46.313000,5.178000
Ain,Cressin-Rochefort,389,0,0,0,45.783001,5.766000
Ain,Crottet,1818,0,0,0,46.283001,4.878000
Ain,Crozet,2288,0,0,0,46.292000,5.995000
Ain,Cruzilles-lès-Mépillat,943,0,0,0,46.222000,4.875000
Ain,Culoz-Béon,3426,0,0,0,45.855999,5.784000
Ain,Curciat-Dongalon,451,0,0,0,46.487999,5.163000
Ain,Curtafond,784,0,0,0,46.272999,5.102000
Ain,Cuzieu,433,0,0,0,45.820000,5.677000
Ain,Dagneux,4753,0,0,0,45.853001,5.073000
Ain,Divonne-les-Bains,10137,0,0,0,46.375999,6.116000
Ain,Dompierre-sur-Veyle,1207,0,0,0,46.067001,5.217000
Ain,Dompierre-sur-Chalaronne,437,0,0,0,46.141998,4.901000
Ain,Domsure,526,0,1,0,46.424000,5.293000
Ain,Dortan,1953,0,0,0,46.313000,5.642000
Ain,Douvres,1094,0,0,0,45.984001,5.371000
Ain,Drom,215,0,0,0,46.220001,5.368000
Ain,Druillat,1139,0,0,0,46.068001,5.294000
Ain,Échallon,765,0,0,0,46.227001,5.733000
Ain,Échenevex,2127,1,0,315,46.316002,6.019000
Ain,Évosges,142,0,0,0,45.965000,5.503000
Ain,Faramans,877,1,0,215,45.910000,5.125000
Ain,Fareins,2431,0,0,0,46.021000,4.762000
Ain,Farges,1058,0,0,0,46.166000,5.900000
Ain,Feillens,3381,0,0,0,46.337002,4.885000
Ain,Ferney-Voltaire,10920,0,0,0,46.251999,6.108000
Ain,Flaxieu,64,0,0,0,45.811001,5.745000
Ain,Foissiat,2014,0,0,0,46.377998,5.185000
Ain,Francheleins,1585,0,0,0,46.074001,4.813000
Ain,Frans,2482,0,0,0,45.993999,4.780000
Ain,Garnerans,658,0,0,0,46.214001,4.828000
Ain,Genouilleux,650,0,0,0,46.119999,4.793000
Ain,Béard-Géovreissiat,1048,0,0,0,46.189999,5.551000
Ain,Géovreisset,835,1,0,223,46.250999,5.613000
Ain,Gex,13078,0,0,0,46.347000,6.046000
Ain,Giron,176,0,0,0,46.223000,5.780000
Ain,Gorrevod,786,0,0,0,46.415001,4.951000
Ain,Grand-Corent,184,1,0,43,46.207001,5.433000
Ain,Grièges,1901,0,0,0,46.263000,4.846000
Ain,Grilly,864,0,0,0,46.332001,6.114000
Ain,Groissiat,1230,0,0,0,46.226002,5.611000
Ain,Guéreins,1495,0,0,0,46.106998,4.782000
Ain,Hautecourt-Romanèche,758,0,0,0,46.160999,5.429000
Ain,Plateau d'Hauteville,4807,1,0,46,45.970001,5.576000
Ain,Haut Valromey,609,0,1,0,46.032001,5.703000
Ain,Illiat,689,0,0,0,46.187000,4.888000
Ain,Injoux-Génissiat,1123,0,1,0,46.049999,5.760000
Ain,Innimond,89,0,0,0,45.792000,5.574000
Ain,Izenave,155,0,0,0,46.037998,5.524000
Ain,Izernore,2267,0,0,0,46.217999,5.563000
Ain,Izieu,222,0,0,0,45.655998,5.639000
Ain,Jassans-Riottier,6355,0,0,0,45.978001,4.760000
Ain,Jasseron,1861,0,0,0,46.215000,5.312000
Ain,Jayat,1259,0,0,0,46.366001,5.114000
Ain,Journans,380,0,0,0,46.146000,5.334000
Ain,Joyeux,262,1,0,20,45.950001,5.103000
Ain,Jujurieux,2124,0,0,0,46.049999,5.411000
Ain,Labalme,210,0,0,0,46.092999,5.494000
Ain,Lagnieu,7268,0,0,0,45.891998,5.329000
Ain,Laiz,1299,0,0,0,46.247002,4.899000
Ain,Le Poizat-Lalleyriat,746,0,0,0,46.147999,5.718000
Ain,Lantenay,270,0,0,0,46.054001,5.541000
Ain,Lapeyrouse,326,0,1,0,45.986000,4.982000
Ain,Lavours,136,0,0,0,45.811001,5.773000
Ain,Léaz,817,0,0,0,46.109001,5.876000
Ain,Lélex,230,0,0,0,46.285999,5.929000
Ain,Lent,1408,0,0,0,46.116001,5.202000
Ain,Lescheroux,714,0,0,0,46.411999,5.151000
Ain,Leyment,1392,0,0,0,45.926998,5.295000
Ain,Leyssard,163,0,0,0,46.161999,5.476000
Ain,Surjoux-Lhopital,141,0,1,0,46.023998,5.762000
Ain,Lhuis,892,0,0,0,45.743999,5.536000
Ain,Lompnas,163,0,0,0,45.811001,5.523000
Ain,Loyettes,3381,0,0,0,45.792000,5.218000
Ain,Lurcy,393,1,0,507,46.062000,4.781000
Ain,Magnieu,655,0,0,0,45.775002,5.715000
Ain,Maillat,679,0,0,0,46.119999,5.528000
Ain,Malafretaz,1214,1,0,116,46.330002,5.144000
Ain,Mantenay-Montlin,308,0,0,0,46.430000,5.107000
Ain,Manziat,1955,0,0,0,46.363998,4.902000
Ain,Marboz,2268,0,0,0,46.342999,5.244000
Ain,Marchamp,132,0,0,0,45.773998,5.550000
Ain,Marignieu,167,0,0,0,45.800999,5.716000
Ain,Marlieux,1182,0,0,0,46.055000,5.074000
Ain,Marsonnas,1030,0,0,0,46.341000,5.064000
Ain,Martignat,1671,0,0,0,46.202999,5.614000
Ain,Massieux,2721,0,0,0,45.909000,4.828000
Ain,Massignieu-de-Rives,642,0,0,0,45.757000,5.762000
Ain,Matafelon-Granges,629,0,0,0,46.256001,5.540000
Ain,Meillonnas,1383,0,0,0,46.244999,5.336000
Ain,Mérignat,136,0,0,0,46.064999,5.442000
Ain,Messimy-sur-Saône,1288,0,0,0,46.047001,4.759000
Ain,Meximieux,8085,0,0,0,45.905998,5.204000
Ain,Bohas-Meyriat-Rignat,965,0,0,0,46.143002,5.378000
Ain,Mézériat,2192,0,0,0,46.242001,5.047000
Ain,Mijoux,297,0,0,0,46.362000,6.009000
Ain,Mionnay,2227,0,0,0,45.896000,4.924000
Ain,Miribel,10225,1,0,2446,45.844002,4.941000
Ain,Misérieux,1994,0,0,0,45.976002,4.810000
Ain,Mogneneins,803,0,0,0,46.145000,4.820000
Ain,Montagnat,2145,0,0,0,46.168999,5.280000
Ain,Montagnieu,666,0,0,0,45.799000,5.464000
Ain,Montanges,350,0,0,0,46.173000,5.790000
Ain,Montceaux,1198,0,0,0,46.096001,4.804000
Ain,Montcet,704,0,1,0,46.219002,5.112000
Ain,Le Montellier,319,0,0,0,45.929001,5.071000
Ain,Monthieux,682,0,1,0,45.962002,4.946000
Ain,Montluel,6838,0,0,0,45.890999,5.020000
Ain,Montmerle-sur-Saône,3792,0,0,0,46.084999,4.761000
Ain,Montracol,1008,0,1,0,46.187000,5.117000
Ain,Montréal-la-Cluse,3541,0,0,0,46.180000,5.595000
Ain,Montrevel-en-Bresse,2578,0,0,0,46.325001,5.113000
Ain,Nurieux-Volognat,990,0,0,0,46.182999,5.514000
Ain,Murs-et-Gélignieux,240,0,0,0,45.641998,5.660000
Ain,Nantua,3449,0,0,0,46.153999,5.614000
Ain,Neuville-les-Dames,1515,0,0,0,46.157001,5.009000
Ain,Neuville-sur-Ain,1799,0,0,0,46.091000,5.374000
Ain,Les Neyrolles,632,0,0,0,46.133999,5.637000
Ain,Neyron,2538,0,0,0,45.818001,4.931000
Ain,Niévroz,1634,0,0,0,45.821999,5.060000
Ain,Nivollet-Montgriffon,115,0,0,0,46.000000,5.458000
Ain,Oncieu,73,0,0,0,45.965000,5.472000
Ain,Ordonnaz,141,0,0,0,45.834000,5.540000
Ain,Ornex,4690,0,0,0,46.278000,6.094000
Ain,Outriaz,255,0,0,0,46.068001,5.557000
Ain,Oyonnax,22277,0,0,0,46.259998,5.653000
Ain,Ozan,725,0,0,0,46.387001,4.918000
Ain,Parcieux,1319,0,0,0,45.917999,4.828000
Ain,Parves et Nattages,955,0,0,0,45.743999,5.738000
Ain,Péron,2838,0,0,0,46.191002,5.920000
Ain,Péronnas,6448,0,0,0,46.171001,5.218000
Ain,Pérouges,1346,0,0,0,45.880001,5.180000
Ain,Perrex,852,0,0,0,46.245998,4.975000
Ain,Peyriat,148,0,0,0,46.150002,5.506000
Ain,Peyrieu,908,0,0,0,45.675999,5.679000
Ain,Peyzieux-sur-Saône,666,0,0,0,46.123001,4.822000
Ain,Pirajoux,407,0,1,0,46.386002,5.274000
Ain,Pizay,914,0,0,0,45.893002,5.089000
Ain,Plagne,161,0,0,0,46.188000,5.718000
Ain,Le Plantay,579,0,0,0,46.022999,5.089000
Ain,Polliat,2648,0,0,0,46.245998,5.138000
Ain,Pollieu,168,0,0,0,45.796001,5.748000
Ain,Poncin,1729,0,0,0,46.090000,5.417000
Ain,Pont-d'Ain,2871,0,0,0,46.054001,5.347000
Ain,Pont-de-Vaux,2189,0,0,0,46.442001,4.929000
Ain,Pont-de-Veyle,1629,0,0,0,46.264000,4.882000
Ain,Port,843,0,0,0,46.155998,5.576000
Ain,Pougny,796,0,0,0,46.145000,5.951000
Ain,Pouillat,81,0,0,0,46.321999,5.423000
Ain,Prémeyzel,247,0,0,0,45.681000,5.644000
Ain,Prémillieu,44,0,1,0,45.875999,5.565000
Ain,Prévessin-Moëns,9063,0,0,0,46.257999,6.072000
Ain,Priay,1764,0,0,0,46.020000,5.285000
Ain,Ramasse,331,0,0,0,46.191002,5.356000
Ain,Rancé,741,0,0,0,45.966999,4.863000
Ain,Relevant,467,0,0,0,46.084000,4.942000
Ain,Replonges,3899,0,0,0,46.307999,4.875000
Ain,Revonnas,896,0,0,0,46.161999,5.335000
Ain,Reyrieux,5098,0,0,0,45.937000,4.828000
Ain,Reyssouze,1010,0,0,0,46.429001,4.913000
Ain,Rignieux-le-Franc,1098,0,0,0,45.952000,5.169000
Ain,Romans,617,0,0,0,46.124001,5.022000
Ain,Rossillon,160,0,0,0,45.835999,5.599000
Ain,Ruffieu,177,0,0,0,46.004002,5.653000
Ain,Saint-Alban,192,0,0,0,46.098000,5.456000
Ain,Saint-André-de-Bâgé,809,0,0,0,46.298000,4.914000
Ain,Saint-André-de-Corcy,3368,0,0,0,45.926998,4.954000
Ain,Saint-André-d'Huiriat,675,0,0,0,46.214001,4.913000
Ain,Saint-André-le-Bouchoux,418,0,0,0,46.112999,5.080000
Ain,Saint-André-sur-Vieux-Jonc,1211,0,1,0,46.148998,5.142000
Ain,Saint-Bénigne,1343,0,0,0,46.452000,4.953000
Ain,Groslée-Saint-Benoit,1238,0,0,0,45.688999,5.584000
Ain,Saint-Bernard,1497,0,0,0,45.949001,4.743000
Ain,Sainte-Croix,547,0,0,0,45.896000,5.049000
Ain,Saint-Cyr-sur-Menthon,1844,0,0,0,46.275002,4.968000
Ain,Saint-Denis-lès-Bourg,6063,0,0,0,46.210999,5.185000
Ain,Saint-Denis-en-Bugey,2240,1,0,264,45.949001,5.324000
Ain,Saint-Didier-d'Aussiat,850,0,0,0,46.306999,5.058000
Ain,Saint-Didier-de-Formans,2141,0,0,0,45.956001,4.778000
Ain,Saint-Didier-sur-Chalaronne,3052,0,0,0,46.183998,4.816000
Ain,Saint-Éloi,524,0,0,0,45.931999,5.152000
Ain,Saint-Étienne-du-Bois,2553,0,0,0,46.275002,5.284000
Ain,Saint-Étienne-sur-Chalaronne,1613,0,0,0,46.146999,4.867000
Ain,Saint-Étienne-sur-Reyssouze,581,1,0,51,46.403000,5.006000
Ain,Sainte-Euphémie,1730,0,0,0,45.966999,4.795000
Ain,Saint-Genis-Pouilly,14558,0,0,0,46.254002,6.036000
Ain,Saint-Genis-sur-Menthon,486,0,0,0,46.282001,5.013000
Ain,Saint-Georges-sur-Renon,199,0,0,0,46.104000,5.030000
Ain,Saint-Germain-de-Joux,505,0,0,0,46.181999,5.747000
Ain,Saint-Germain-les-Paroisses,425,1,0,23,45.771000,5.618000
Ain,Saint-Germain-sur-Renon,257,0,0,0,46.080002,5.061000
Ain,Saint-Jean-de-Gonville,1988,0,0,0,46.217999,5.942000
Ain,Saint-Jean-de-Niost,1826,0,0,0,45.840000,5.212000
Ain,Saint-Jean-de-Thurigneux,829,0,0,0,45.959999,4.899000
Ain,Saint-Jean-le-Vieux,1786,0,0,0,46.028999,5.382000
Ain,Saint-Jean-sur-Reyssouze,767,0,0,0,46.396999,5.063000
Ain,Saint-Jean-sur-Veyle,1159,0,0,0,46.268002,4.922000
Ain,Sainte-Julie,1090,0,0,0,45.882000,5.284000
Ain,Saint-Julien-sur-Reyssouze,707,0,0,0,46.400002,5.104000
Ain,Saint-Julien-sur-Veyle,848,1,0,21,46.202000,4.959000
Ain,Saint-Just,954,0,0,0,46.193001,5.285000
Ain,Saint-Laurent-sur-Saône,1659,0,0,0,46.305000,4.840000
Ain,Saint-Marcel,1261,0,0,0,45.949001,4.990000
Ain,Saint-Martin-de-Bavel,436,0,0,0,45.848000,5.679000
Ain,Saint-Martin-du-Frêne,1033,0,0,0,46.136002,5.571000
Ain,Saint-Martin-du-Mont,1899,1,0,81,46.105999,5.326000
Ain,Saint-Martin-le-Châtel,781,0,0,0,46.291000,5.123000
Ain,Saint-Maurice-de-Beynost,4155,0,0,0,45.834000,4.977000
Ain,Saint-Maurice-de-Gourdans,2748,0,0,0,45.820000,5.170000
Ain,Saint-Maurice-de-Rémens,756,0,0,0,45.952999,5.271000
Ain,Saint-Nizier-le-Bouchoux,598,0,0,0,46.452999,5.176000
Ain,Saint-Nizier-le-Désert,922,0,0,0,46.053001,5.142000
Ain,Sainte-Olive,331,0,0,0,46.014000,4.936000
Ain,Saint-Paul-de-Varax,1641,0,0,0,46.096001,5.128000
Ain,Saint-Rambert-en-Bugey,2173,0,0,0,45.950001,5.440000
Ain,Saint-Rémy,943,0,0,0,46.185001,5.168000
Ain,Saint-Sorlin-en-Bugey,1125,0,0,0,45.886002,5.376000
Ain,Saint-Sulpice,260,0,0,0,46.320999,5.042000
Ain,Saint-Trivier-de-Courtes,1119,0,0,0,46.460999,5.067000
Ain,Saint-Trivier-sur-Moignans,1857,0,0,0,46.062000,4.902000
Ain,Saint-Vulbas,1234,0,0,0,45.821999,5.270000
Ain,Salavre,284,0,0,0,46.363998,5.347000
Ain,Samognat,660,0,0,0,46.264999,5.586000
Ain,Sandrans,567,0,0,0,46.066002,4.983000
Ain,Sault-Brénaz,997,0,0,0,45.865002,5.404000
Ain,Sauverny,992,0,0,0,46.313000,6.110000
Ain,Savigneux,1449,0,0,0,45.997002,4.858000
Ain,Ségny,2412,0,0,0,46.293999,6.073000
Ain,Seillonnaz,137,0,0,0,45.798000,5.498000
Ain,Sergy,2218,0,0,0,46.263000,5.989000
Ain,Sermoyer,648,0,1,0,46.498001,4.979000
Ain,Serrières-de-Briord,1312,0,0,0,45.813000,5.441000
Ain,Serrières-sur-Ain,134,0,0,0,46.146999,5.450000
Ain,Servas,1270,0,0,0,46.139000,5.179000
Ain,Servignat,175,0,0,0,46.435001,5.056000
Ain,Seyssel,1001,0,0,0,45.948002,5.826000
Ain,Simandre-sur-Suran,656,0,0,0,46.234001,5.422000
Ain,Sonthonnax-la-Montagne,292,0,0,0,46.223000,5.506000
Ain,Souclin,267,0,0,0,45.877998,5.431000
Ain,Sulignat,608,0,0,0,46.174000,4.958000
Ain,Talissieu,519,0,0,0,45.863998,5.721000
Ain,Tenay,1013,0,0,0,45.923000,5.514000
Ain,Thil,1156,0,0,0,45.817001,5.018000
Ain,Thoiry,6136,0,0,0,46.243999,5.965000
Ain,Thoissey,1655,0,0,0,46.169998,4.794000
Ain,Torcieu,744,0,0,0,45.921001,5.404000
Ain,Tossiat,1352,0,0,0,46.138000,5.304000
Ain,Toussieux,1198,0,0,0,45.959999,4.829000
Ain,Tramoyes,1843,0,0,0,45.875000,4.964000
Ain,La Tranclière,286,0,0,0,46.097000,5.261000
Ain,Val-Revermont,2500,0,0,0,46.279999,5.361000
Ain,Trévoux,6947,0,0,0,45.941002,4.771000
Ain,Valeins,131,0,0,0,46.115002,4.866000
Ain,Vandeins,717,0,0,0,46.217999,5.082000
Ain,Varambon,654,0,0,0,46.042999,5.295000
Ain,Vaux-en-Bugey,1234,0,0,0,45.919998,5.364000
Ain,Verjon,339,0,0,0,46.346001,5.348000
Ain,Vernoux,301,0,0,0,46.485001,5.106000
Ain,Versailleux,494,0,0,0,45.985001,5.112000
Ain,Versonnex,2137,0,0,0,46.299999,6.101000
Ain,Vesancy,502,0,0,0,46.361000,6.085000
Ain,Vescours,219,0,0,0,46.473999,5.026000
Ain,Vésines,98,0,0,0,46.359001,4.863000
Ain,Vieu-d'Izenave,735,0,0,0,46.084999,5.549000
Ain,Villars-les-Dombes,4954,0,0,0,45.993000,5.045000
Ain,Villebois,1197,0,0,0,45.848999,5.447000
Ain,Villemotier,617,0,1,0,46.346001,5.310000
Ain,Villeneuve,1569,0,0,0,46.032001,4.852000
Ain,Villereversure,1353,0,0,0,46.193001,5.395000
Ain,Villes,400,0,0,0,46.095001,5.757000
Ain,Villette-sur-Ain,762,0,0,0,46.009998,5.252000
Ain,Villieu-Loyes-Mollon,3793,0,0,0,45.931999,5.230000
Ain,Viriat,6808,0,0,0,46.250999,5.223000
Ain,Virieu-le-Grand,1118,0,0,0,45.846001,5.640000
Ain,Arvière-en-Valromey,713,0,0,0,45.905998,5.737000
Ain,Virignin,1127,0,0,0,45.727001,5.713000
Ain,Vongnes,71,0,0,0,45.813000,5.725000
Ain,Vonnas,3216,0,0,0,46.216999,4.997000
Aisne,Abbécourt,507,0,0,0,49.598999,3.177000
Aisne,Achery,594,1,0,177,49.694000,3.397000
Aisne,Acy,1016,0,0,0,49.347000,3.418000
Aisne,Agnicourt-et-Séchelles,186,0,0,0,49.716999,3.960000
Aisne,Aguilcourt,393,0,0,0,49.394001,3.968000
Aisne,Aisonville-et-Bernoville,259,0,0,0,49.930000,3.511000
Aisne,Aizelles,120,0,0,0,49.485001,3.819000
Aisne,Aizy-Jouy,303,0,0,0,49.438000,3.512000
Aisne,Alaincourt,527,0,0,0,49.766998,3.366000
Aisne,Allemant,169,0,0,0,49.462002,3.454000
Aisne,Ambleny,1181,0,0,0,49.375999,3.183000
Aisne,Ambrief,78,0,0,0,49.321999,3.404000
Aisne,Amifontaine,387,0,1,0,49.499001,3.923000
Aisne,Amigny-Rouy,716,0,0,0,49.611000,3.303000
Aisne,Ancienville,76,0,0,0,49.219002,3.208000
Aisne,Andelain,212,0,0,0,49.640999,3.370000
Aisne,Anguilcourt-le-Sart,295,0,0,0,49.694000,3.428000
Aisne,Anizy-le-Grand,2549,0,0,0,49.504002,3.431000
Aisne,Annois,355,0,0,0,49.721001,3.176000
Aisne,Any-Martin-Rieux,455,0,0,0,49.882000,4.224000
Aisne,Archon,79,0,0,0,49.743999,4.119000
Aisne,Arcy-Sainte-Restitue,399,0,0,0,49.255001,3.478000
Aisne,Armentières-sur-Ourcq,99,0,0,0,49.173000,3.388000
Aisne,Arrancy,47,0,0,0,49.499001,3.765000
Aisne,Artemps,365,0,0,0,49.762001,3.197000
Aisne,Assis-sur-Serre,206,0,0,0,49.680000,3.555000
Aisne,Athies-sous-Laon,2601,0,0,0,49.576000,3.690000
Aisne,Attilly,348,0,0,0,49.855000,3.154000
Aisne,Aubencheul-aux-Bois,248,0,0,0,50.023998,3.261000
Aisne,Aubenton,660,1,0,27,49.825001,4.191000
Aisne,Aubigny-aux-Kaisnes,247,0,0,0,49.771999,3.119000
Aisne,Aubigny-en-Laonnois,101,0,0,0,49.497002,3.793000
Aisne,Audignicourt,116,0,0,0,49.478001,3.127000
Aisne,Audigny,281,0,1,0,49.866001,3.631000
Aisne,Augy,70,0,0,0,49.340000,3.511000
Aisne,Aulnois-sous-Laon,1369,0,0,0,49.619999,3.610000
Aisne,Les Autels,62,0,0,0,49.761002,4.224000
Aisne,Autremencourt,175,0,0,0,49.705002,3.794000
Aisne,Autreppes,176,0,0,0,49.896999,3.856000
Aisne,Autreville,805,0,0,0,49.585999,3.236000
Aisne,Azy-sur-Marne,375,0,0,0,49.004002,3.359000
Aisne,Bagneux,63,0,0,0,49.459999,3.280000
Aisne,Bancigny,25,0,0,0,49.798000,4.037000
Aisne,Barenton-Bugny,557,0,1,0,49.622002,3.661000
Aisne,Barenton-Cel,108,0,1,0,49.647999,3.645000
Aisne,Barenton-sur-Serre,130,0,1,0,49.667999,3.689000
Aisne,Barisis-aux-Bois,739,1,0,154,49.577999,3.328000
Aisne,Barzy-en-Thiérache,319,0,1,0,50.040001,3.749000
Aisne,Barzy-sur-Marne,392,0,0,0,49.091000,3.562000
Aisne,Bassoles-Aulers,129,0,0,0,49.533001,3.385000
Aisne,Vallées en Champagne,581,0,0,0,48.990002,3.605000
Aisne,Bazoches-et-Saint-Thibaut,524,0,0,0,49.306999,3.616000
Aisne,Beaumé,86,0,0,0,49.820999,4.152000
Aisne,Beaumont-en-Beine,176,0,0,0,49.688000,3.131000
Aisne,Beaurevoir,1368,1,0,145,49.997002,3.330000
Aisne,Beaurieux,832,0,0,0,49.403000,3.753000
Aisne,Beautor,2672,0,0,0,49.647999,3.338000
Aisne,Beauvois-en-Vermandois,252,0,0,0,49.834000,3.103000
Aisne,Becquigny,258,0,0,0,50.015999,3.459000
Aisne,Belleau,134,0,0,0,49.083000,3.300000
Aisne,Bellenglise,380,0,1,0,49.925999,3.244000
